time,F_Tbar,z_Tbar
0.000000,4.012168,-7.148150
0.010000,4.004857,-7.179059
0.020000,4.012899,-7.194875
0.030000,4.031907,-7.191864
0.040000,4.013630,-7.185080
0.050000,3.996084,-7.182833
0.060000,4.014361,-7.176770
0.070000,4.053839,-7.171512
0.080000,4.080158,-7.179059
0.090000,4.065536,-7.191864
0.100000,4.109402,-7.202422
0.110000,4.094049,-7.191864
0.120000,4.015823,-7.180543
0.130000,3.971227,-7.182833
0.140000,4.034100,-7.191864
0.150000,4.056764,-7.197122
0.160000,4.076503,-7.203906
0.170000,4.099897,-7.209969
0.180000,4.069192,-7.207680
0.190000,4.026058,-7.200896
0.200000,4.056033,-7.195638
0.210000,4.114519,-7.191864
0.220000,4.167888,-7.200132
0.230000,4.108670,-7.211453
0.240000,4.010705,-7.211453
0.250000,4.037024,-7.206196
0.260000,4.138645,-7.201659
0.270000,4.094049,-7.197122
0.280000,4.061882,-7.203185
0.290000,4.087469,-7.206916
0.300000,4.066268,-7.153407
0.310000,4.043604,-7.141365
0.320000,4.034832,-7.191101
0.330000,4.037755,-7.212980
0.340000,4.021672,-7.213700
0.350000,3.981462,-7.214464
0.360000,3.994622,-7.212980
0.370000,3.990236,-7.215227
0.380000,3.991698,-7.216753
0.390000,4.028983,-7.213700
0.400000,4.042873,-7.213700
0.410000,4.023134,-7.212980
0.420000,4.024596,-7.208443
0.430000,4.075772,-7.206916
0.440000,4.111595,-7.210690
0.450000,4.099166,-7.199412
0.460000,4.042873,-7.179780
0.470000,4.027521,-7.198648
0.480000,4.007051,-7.212980
0.490000,3.981462,-7.209206
0.500000,4.004857,-7.206196
0.510000,4.064806,-7.171512
0.520000,4.064075,-7.143613
0.530000,4.022403,-7.135345
0.540000,4.057495,-7.131571
0.550000,4.088200,-7.127797
0.560000,4.107939,-7.131571
0.570000,3.986580,-7.137592
0.580000,3.895926,-7.129281
0.590000,3.961723,-7.108208
0.600000,4.017285,-7.096887
0.610000,4.059688,-7.104435
0.620000,4.078696,-7.117240
0.630000,4.069923,-7.110456
0.640000,4.068461,-7.098371
0.650000,4.060419,-7.096887
0.660000,4.065536,-7.105919
0.670000,4.069923,-7.121776
0.680000,4.054571,-7.136065
0.690000,4.012168,-7.130808
0.700000,4.030445,-7.124787
0.710000,4.054571,-7.121776
0.720000,4.130603,-7.124787
0.730000,4.098435,-7.133055
0.740000,4.044335,-7.131571
0.750000,4.042142,-7.121776
0.760000,4.056764,-7.111940
0.770000,4.056764,-7.111940
0.780000,4.046529,-7.109692
0.790000,3.990967,-7.108208
0.800000,3.991698,-7.106682
0.810000,4.072116,-7.113466
0.820000,4.078696,-7.124787
0.830000,3.993891,-7.126271
0.840000,3.990236,-7.131571
0.850000,4.004857,-7.136065
0.860000,4.042142,-7.134581
0.870000,4.032638,-7.130045
0.880000,4.017285,-7.130808
0.890000,4.075772,-7.138355
0.900000,4.108670,-7.136065
0.910000,4.082352,-7.135345
0.920000,4.026058,-7.134581
0.930000,3.979269,-7.139076
0.940000,4.043604,-7.142849
0.950000,4.090394,-7.136065
0.960000,4.075772,-7.133818
0.970000,4.059688,-7.137592
0.980000,4.043604,-7.148150
0.990000,4.046529,-7.146623
1.000000,4.059688,-7.144376
1.010000,4.084545,-7.161718
1.020000,4.138645,-7.181307
1.030000,4.149611,-7.187327
1.040000,4.074310,-7.189617
1.050000,4.027521,-7.188091
1.060000,4.036294,-7.182070
1.070000,4.064075,-7.182833
1.080000,4.089663,-7.181307
1.090000,4.105746,-7.175286
1.100000,4.138645,-7.175286
1.110000,4.126216,-7.180543
1.120000,4.105746,-7.177533
1.130000,4.080158,-7.169265
1.140000,4.045797,-7.170749
1.150000,4.059688,-7.176770
1.160000,4.102822,-7.177533
1.170000,4.100628,-7.182070
1.180000,4.008512,-7.185080
1.190000,3.985118,-7.187327
1.200000,4.003395,-7.187327
1.210000,4.012168,-7.191864
1.220000,4.070654,-7.200132
1.230000,4.085276,-7.211453
1.240000,4.044335,-7.215990
1.250000,4.044335,-7.206916
1.260000,4.050184,-7.195638
1.270000,4.017285,-7.183554
1.280000,4.015823,-7.182070
1.290000,4.060419,-7.184317
1.300000,4.087469,-7.187327
1.310000,4.108670,-7.183554
1.320000,4.087469,-7.183554
1.330000,4.107208,-7.186564
1.340000,4.094780,-7.188854
1.350000,4.093318,-7.194111
1.360000,4.081621,-7.198648
1.370000,4.080889,-7.209206
1.380000,4.121830,-7.217474
1.390000,4.107939,-7.210690
1.400000,4.039949,-7.190338
1.410000,4.015092,-7.176770
1.420000,4.018016,-7.176770
1.430000,4.001933,-7.193348
1.440000,4.030445,-7.197122
1.450000,3.997546,-7.197885
1.460000,3.982925,-7.194111
1.470000,4.043604,-7.169265
1.480000,4.085276,-7.130808
1.490000,4.075772,-7.156418
1.500000,4.028983,-7.186564
1.510000,3.985118,-7.161718
1.520000,4.058957,-7.120250
1.530000,4.087469,-7.105156
1.540000,4.072116,-7.113466
1.550000,4.103553,-7.122497
1.560000,4.053108,-7.111219
1.570000,3.988042,-7.095361
1.580000,4.039218,-7.087093
1.590000,4.073578,-7.078019
1.600000,4.056033,-7.071998
1.610000,4.059688,-7.081072
1.620000,4.059688,-7.087093
1.630000,3.970496,-7.090867
1.640000,3.965379,-7.061441
1.650000,4.074310,-7.032057
1.660000,4.107939,-7.056946
1.670000,4.062613,-7.075772
1.680000,4.036294,-7.081072
1.690000,4.050915,-7.100661
1.700000,4.037024,-7.119487
1.710000,4.018016,-7.127034
1.720000,4.065536,-7.128561
1.730000,4.055302,-7.117240
1.740000,4.042873,-7.106682
1.750000,4.009243,-7.102145
1.760000,4.004857,-7.094640
1.770000,3.999008,-7.095361
1.780000,4.023134,-7.093114
1.790000,4.020941,-7.084803
1.800000,4.028983,-7.089340
1.810000,4.002664,-7.106682
1.820000,4.000471,-7.129281
1.830000,4.023865,-7.140602
1.840000,4.028252,-7.148150
1.850000,3.998277,-7.150397
1.860000,4.012899,-7.153407
1.870000,4.068461,-7.155697
1.880000,4.072116,-7.151160
1.890000,4.024596,-7.142849
1.900000,4.027521,-7.137592
1.910000,4.048722,-7.133055
1.920000,4.054571,-7.130808
1.930000,4.049453,-7.132292
1.940000,4.003395,-7.138355
1.950000,3.984387,-7.139076
1.960000,3.941253,-7.138355
1.970000,3.922976,-7.133055
1.980000,4.012899,-7.126271
1.990000,4.066268,-7.123260
2.000000,4.047991,-7.118003
2.010000,4.051646,-7.139076
2.020000,4.049453,-7.182833
2.030000,4.047260,-7.206196
2.040000,4.096242,-7.199412
2.050000,4.088931,-7.173759
2.060000,4.018748,-7.164728
2.070000,3.966841,-7.166975
2.080000,3.966110,-7.185843
2.090000,3.962454,-7.203906
2.100000,3.974883,-7.206916
2.110000,4.028252,-7.210690
2.120000,4.078696,-7.219001
2.130000,4.074310,-7.209206
2.140000,4.070654,-7.192627
2.150000,4.084545,-7.194875
2.160000,4.063344,-7.191101
2.170000,4.038487,-7.182070
2.180000,4.036294,-7.178296
2.190000,4.016554,-7.177533
2.200000,3.969034,-7.177533
2.210000,3.955144,-7.176770
2.220000,3.983656,-7.175286
2.230000,4.012899,-7.172275
2.240000,4.095511,-7.180543
2.250000,4.104284,-7.194111
2.260000,4.031176,-7.200896
2.270000,4.053108,-7.197122
2.280000,4.064806,-7.191101
2.290000,4.046529,-7.186564
2.300000,4.039949,-7.186564
2.310000,4.002664,-7.191101
2.320000,3.969034,-7.190338
2.330000,4.039218,-7.190338
2.340000,4.088931,-7.195638
2.350000,4.057495,-7.199412
2.360000,3.992429,-7.200896
2.370000,3.979269,-7.197122
2.380000,3.982925,-7.191101
2.390000,4.050915,-7.182833
2.400000,4.084545,-7.188091
2.410000,4.027521,-7.199412
2.420000,4.014361,-7.196401
2.430000,4.075041,-7.191864
2.440000,4.044335,-7.182833
2.450000,3.997546,-7.187327
2.460000,4.006319,-7.191101
2.470000,4.056033,-7.185843
2.480000,4.056764,-7.173759
2.490000,4.058957,-7.160191
2.500000,4.057495,-7.157944
2.510000,4.065536,-7.141365
2.520000,4.046529,-7.114229
2.530000,4.049453,-7.099135
2.540000,4.088200,-7.099898
2.550000,4.069923,-7.112703
2.560000,4.015092,-7.118003
2.570000,3.977807,-7.117240
2.580000,4.007051,-7.108208
2.590000,4.058226,-7.100661
2.600000,4.051646,-7.096887
2.610000,4.019479,-7.099135
2.620000,3.990236,-7.096887
2.630000,3.989504,-7.092351
2.640000,3.996815,-7.093114
2.650000,3.977807,-7.091587
2.660000,3.977076,-7.100661
2.670000,4.031176,-7.112703
2.680000,4.079427,-7.109692
2.690000,4.054571,-7.075772
2.700000,4.002664,-7.075009
2.710000,4.006319,-7.109692
2.720000,3.985118,-7.130045
2.730000,4.005588,-7.136065
2.740000,4.076503,-7.133818
2.750000,4.099166,-7.124024
2.760000,4.081621,-7.118003
2.770000,4.072116,-7.115713
2.780000,4.036294,-7.111219
2.790000,4.008512,-7.103672
2.800000,4.035563,-7.095361
2.810000,4.037755,-7.100661
2.820000,4.019479,-7.112703
2.830000,4.039949,-7.126271
2.840000,4.075041,-7.141365
2.850000,4.078696,-7.138355
2.860000,4.034832,-7.090103
2.870000,3.999739,-7.075772
2.880000,3.985849,-7.113466
