time,F_Tbar,z_Tbar
0.000000,59.506996,-4.739809
0.010000,59.515770,-4.732262
0.020000,59.549400,-4.736799
0.030000,59.530392,-4.747356
0.040000,59.512844,-4.750367
0.050000,59.506996,-4.741293
0.060000,59.531853,-4.725478
0.070000,59.511383,-4.723231
0.080000,59.455090,-4.742056
0.090000,59.466785,-4.762408
0.100000,59.523811,-4.765419
0.110000,59.558170,-4.756388
0.120000,59.480679,-4.748077
0.130000,59.482140,-4.742056
0.140000,59.530392,-4.740572
0.150000,59.583031,-4.748077
0.160000,59.566216,-4.760161
0.170000,59.531120,-4.764656
0.180000,59.569870,-4.757872
0.190000,59.676605,-4.746593
0.200000,59.689766,-4.714157
0.210000,59.644440,-4.676463
0.220000,59.569138,-4.659164
0.230000,59.531853,-4.654627
0.240000,59.583031,-4.659164
0.250000,59.599842,-4.664421
0.260000,59.581566,-4.668195
0.270000,59.521618,-4.670442
0.280000,59.482872,-4.668958
0.290000,59.519424,-4.665948
0.300000,59.590340,-4.667432
0.310000,59.610809,-4.662174
0.320000,59.583759,-4.637285
0.330000,59.587414,-4.611675
0.340000,59.566944,-4.627491
0.350000,59.524544,-4.653100
0.360000,59.532585,-4.662174
0.370000,59.505535,-4.665184
0.380000,59.501148,-4.668958
0.390000,59.498222,-4.676463
0.400000,59.512844,-4.671205
0.410000,59.529659,-4.658400
0.420000,59.561096,-4.666668
0.430000,59.596188,-4.683247
0.440000,59.552322,-4.685537
0.450000,59.481407,-4.687784
0.460000,59.536972,-4.694568
0.470000,59.640785,-4.696094
0.480000,59.693420,-4.672732
0.490000,59.588146,-4.664421
0.500000,59.498222,-4.690794
0.510000,59.530392,-4.699868
0.520000,59.612270,-4.702115
0.530000,59.578644,-4.708136
0.540000,59.540627,-4.705126
0.550000,59.532585,-4.699868
0.560000,59.589607,-4.699868
0.570000,59.643707,-4.693084
0.580000,59.612270,-4.684010
0.590000,59.528198,-4.672732
0.600000,59.492374,-4.674216
0.610000,59.528931,-4.679516
0.620000,59.555981,-4.675742
0.630000,59.558903,-4.673452
0.640000,59.559635,-4.679516
0.650000,59.597649,-4.680237
0.660000,59.565483,-4.671968
0.670000,59.560364,-4.664421
0.680000,59.552322,-4.660648
0.690000,59.553787,-4.662174
0.700000,59.574986,-4.687021
0.710000,59.630550,-4.724715
0.720000,59.668564,-4.742056
0.730000,59.645901,-4.747356
0.740000,59.594727,-4.751088
0.750000,59.585220,-4.751851
0.760000,59.593266,-4.751851
0.770000,59.579372,-4.748077
0.780000,59.563290,-4.751088
0.790000,59.568409,-4.757872
